S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_offline,10,54.0654892644813,0.20431340578718457,0.02775680004440797,0.34199999999999997,0.618,407472.8924887925
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,72.49998026046379,0.2884590805249167,0.03899503969243627,0.46299999999999997,0.7210000000000001,229818.83617767636
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,77.25885693119865,0.20232334029637386,0.02770987509666554,0.509,0.764,210833.60733018434
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,67.39350476790602,0.20502844736764794,0.02786271513918223,0.43900000000000006,0.713,308928.1868357667
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,72.60166330075707,0.10738450835331995,0.01009097687638197,0.481,0.743,263923.2629279429
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,60.905194465903584,0.1115842120605105,0.010277975867408529,0.389,0.634,358587.21614680823
20,0.3,1.0,1.0,deterministic,0.1,tw_dense,10,51.619679388097076,0.2871907773839014,0.0376740760705454,0.312,0.5790000000000001,427625.4401331389
20,0.3,1.0,1.0,deterministic,0.1,tw_gated_offline,10,56.813902755039315,0.20693079213499305,0.028117180989552508,0.39,0.614,375477.91306524735
20,0.3,1.0,1.0,deterministic,0.1,tw_offline,10,55.29772765949222,0.20306204015567247,0.027504187475605922,0.375,0.613,425647.08176382695
20,0.3,1.0,1.0,deterministic,0.1,tw_support_offline,10,55.316407035875706,0.11197339392772936,0.010000219832004473,0.385,0.63,409808.2256158452
50,0.0,1.0,1.0,deterministic,0.1,exp4_dense,10,79.97082162749508,0.3085763461394811,0.01589718043997952,0.551,0.783,204923.49214486426
50,0.0,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,56.72453791616253,0.30346548232484205,0.015659259067037003,0.387,0.631,427648.6847077779
50,0.0,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,61.99738710362806,0.3052025658078016,0.015719044752892743,0.41600000000000004,0.702,371090.27075598756
50,0.0,1.0,1.0,deterministic,0.1,oracle,10,100.0,0.304267577972526,0.015674492347519702,1.0,1.0,0.0
50,0.0,1.0,1.0,deterministic,0.1,state_thompson,10,51.8695748960417,0.3067108037786529,0.01582906030622549,0.312,0.5200000000000001,460322.23814048414
50,0.0,1.0,1.0,deterministic,0.1,tm_tw_dense,10,58.09372574467517,0.3052115701205702,0.0157247295363011,0.361,0.642,421556.30806348455
50,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,63.765866180881474,0.23975750663545242,0.012413982566744508,0.446,0.68,351376.59826086
50,0.0,1.0,1.0,deterministic,0.1,tm_tw_offline,10,56.963164803530404,0.23886426365711827,0.012388725434578514,0.371,0.596,407937.4122368341
50,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,78.15109615960692,0.3077774513171784,0.015847875072281088,0.5359999999999999,0.789,215704.05648670407
50,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,81.35047617255765,0.2400003863914905,0.012425414724719605,0.557,0.788,188572.2278776925
50,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_offline,10,82.03649656821948,0.24028915928342864,0.01243596014707012,0.5499999999999999,0.7879999999999999,176282.64287955925
50,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,10,79.81828971751536,0.07908408884600987,3.817414501310065e-07,0.5369999999999999,0.8150000000000001,190417.72869668374
50,0.0,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,57.192126045347344,0.0813162409631016,3.783103250397483e-07,0.4,0.646,434602.8647560958
50,0.0,1.0,1.0,deterministic,0.1,tw_dense,10,49.156239663034356,0.3027627943373209,0.01563745323534347,0.321,0.5389999999999999,489991.12489659863
50,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline,10,58.95591205257872,0.23980339108258017,0.012430142825555369,0.41600000000000004,0.626,390271.793867848
50,0.0,1.0,1.0,deterministic,0.1,tw_offline,10,55.55126865716685,0.23879568198585605,0.01237798427398743,0.388,0.609,439203.8635726174
